Data Paper,Research Paper,Dauthors,Rauthors,Dnumber,Rnumber,Discipline,Subjects,RBO,Jaccard,LevenshteinDistance,LevenshteinRatio
10.1016/j.dib.2019.104850,S0360319919321007,"['Tyurin, Yu.I.', 'Sypchenko, V.S.', 'Nikitenkov, N.N.', 'Zhang, Hongru', 'Chernov, I.P.']","['Tyurin, Yu.I.', 'Sypchenko, V.S.', 'Nikitenkov, N.N.', 'Zhang, Hongru', 'Chernov, I.P.']",5,5,Chemical Engineering,Engineering,1,0,0,1
10.1016/j.dib.2019.104688,S0360319919331623,"['Espinoza-Andaluz, Mayken', 'Reyna, Raul', 'Qi, Yuanxin', 'Li, Tingshuai', 'Andersson, Martin']","['Espinoza-Andaluz, Mayken', 'Reyna, Raul', 'Moyón, Ayrton', 'Li, Tingshuai', 'Andersson, Martin']",5,5,Energy,Engineering,0.934408602,0.2,1,0.8
10.1016/j.dib.2018.03.045,S0142961217308323,"['Fong, Eliza Li Shan', 'Toh, Tan Boon', 'Lin, Quy Xiao Xuan', 'Liu, Zheng', 'Hooi, Lissa', 'Rashid, Masturah Bte Mohd Abdul', 'Benoukraf, Touati', 'Chow, Edward Kai-Hua', 'Yu, Hanry', 'Huynh, The Hung']","['Fong, Eliza Li Shan', 'Toh, Tan Boon', 'Lin, Quy Xiao Xuan', 'Liu, Zheng', 'Hooi, Lissa', 'Mohd Abdul Rashid, Masturah Bte', 'Benoukraf, Touati', 'Chow, Edward Kai-Hua', 'Yu, Hanry', 'Huynh, The Hung']",10,10,"Genetics, Genomics and Molecular Biology",Biological sciences,0.995472389,0.1,1,0.9
10.1016/j.dib.2021.106773,S0166432820306690,"['Ukezono, Masatoshi', 'Takano, Yuji']","['Ukezono, Masatoshi', 'Takano, Yuji']",2,2,Biological Sciences,Biological sciences,1,0,0,1
10.1016/j.dib.2020.106333,S0921509320311680,"['Zhao, Yinglong', 'Guo, Ning', 'Long, Shiteng', 'Huang, Xiaobin', 'Song, Bo', 'Hu, Jianjun', 'Chai, Linjiang', 'Guo, Shengfeng']","['Guo, Ning', 'Zhao, Yinglong', 'Long, Shiteng', 'Song, Bo', 'Hu, Jianjun', 'Gan, Bin', 'Chai, Linjiang', 'Guo, Shengfeng']",8,8,Materials Science,Engineering,0.471853408,0.125,4,0.75
10.1016/j.dib.2021.107445,S0167268121003036,"['Meier Zu Selhausen, Felix', 'Moradi, Alexander', 'Jedwab, Remi']","['Jedwab, Remi', 'Meier Zu Selhausen, Felix', 'Moradi, Alexander']",3,3,Social Sciences,Social sciences & Humanities,0.285714286,0,2,0.666666667
10.1016/j.dib.2016.01.005,S0891584915011211,"['Spiers, Jereme G.', 'Chen, Hsiao-Jou Cortina', 'Lee, Johnny K.', 'Sernia, Conrad', 'Lavidis, Nickolas A.']","['Chen, Hsiao-Jou Cortina', 'Spiers, Jereme G.', 'Sernia, Conrad', 'Lavidis, Nickolas A.']",5,4,Neurosciences,Medical sciences,0.41827957,0.2,2,0.666666667
10.1016/j.dib.2017.05.049,S0891584916304452,"['Srivastava, Roshni', 'Mannam, Praveen', 'Rauniyar, Navin', 'Lam, Tukiet T.', 'Luo, Ruiyan', 'Lee, Patty J.', 'Srivastava, Anup']","['Mannam, Praveen', 'Rauniyar, Navin', 'Lam, Tukiet T.', 'Luo, Ruiyan', 'Lee, Patty J.', 'Srivastava, Anup']",7,6,Proteomics and Biochemistry,Biological sciences,0.302287214,0.142857143,1,0.923076923
10.1016/j.dib.2021.107323,S1385894721020714,"['Meshref, Mohamed N.A.', 'Azizi, Seyed Mohammad Mirsoleimani', 'Dastyar, Wafa', 'Maal-Bared, Rasha', 'Dhar, Bipro Ranjan']","['Mohammad Mirsoleimani Azizi, Seyed', 'Dastyar, Wafa', 'Meshref, Mohamed N.A.', 'Maal-Bared, Rasha', 'Ranjan Dhar, Bipro']",5,5,Environmental Science,Geosciences,0.153763441,0.4,4,0.4
10.1016/j.dib.2016.11.011,S0378112716307952,"['Twedt, Daniel J.', 'Wilson, R. Randy']","['Twedt, Daniel J.', 'Wilson, R. Randy']",2,2,Agricultural and Biological Sciences,Biological sciences,1,0,0,1
10.1016/j.dib.2021.107337,S2001037021000581,"['Průša, Jiří', 'Ayoub, Ahmed T.', 'Cifra, Michal']","['Průša, Jiří', 'Ayoub, Ahmed Taha', 'Chafai, Djamel Eddine', 'Havelka, Daniel', 'Cifra, Michal']",3,5,Biological Sciences,Biological sciences,0.911827957,0,3,0.5
10.1016/j.dib.2020.106441,S0167268120301232,"['Thrane, Christer', 'Haugom, Erik']","['Thrane, Christer', 'Haugom, Erik']",2,2,Social Sciences,Social sciences & Humanities,1,0,0,1
10.1016/j.dib.2016.01.011,S0360132315302158,"['Rizk, M.', 'Verriele, M.', 'Dusanter, S.', 'Schoemaecker, C.', 'Le Calve, S.', 'Locoge, N.']","['Rizk, M.', 'Verriele, M.', 'Dusanter, S.', 'Schoemaecker, C.', 'Le Calve, S.', 'Locoge, N.']",6,6,Engineering,Engineering,1,0,0,1
10.1016/j.dib.2021.106997,S2405844021001158,"['Mpoung, Léon Arnaud', 'Bidoung, Jean Calvin', 'Sontia Metekong, Jordan Valdès', 'Suila, Basil Yilareng', ""Meva'A, Jean Raymond Lucien""]","['Mpoung, Léon Arnaud', 'Bidoung, Jean Calvin', 'Sontia Metekong, Jean Valdez', 'Meva’A, Jean Raymond Lucien']",5,4,Engineering,Engineering,0.983333333,0.25,2,0.5
10.1016/j.dib.2021.107451,S0002914921006883,"['Sharma, Harish', 'Radhakrishnan, Ashwin', 'Nightingale, Peter', 'Brown, Samuel', 'May, John', ""O'Connor, Kieran"", 'Shakeel, Iqra', 'Zia, Nawal', 'Townend, Jonathan N.', 'Myerson, Saul G.', 'Kirchhof, Paulus', 'Ludman, Peter F.', 'Adnan Nadir, M.', 'Steeds, Richard P.', 'Doshi, Sagar N.']","['Sharma, Harish', 'Radhakrishnan, Ashwin', 'Nightingale, Peter', 'Brown, Samuel', 'May, John', ""O'Connor, Kieran"", 'Shakeel, Iqra', 'Zia, Nawal', 'Townend, Jonathan N.', 'Myerson, Saul G.', 'Kirchhof, Paulus', 'Ludman, Peter F.', 'Adnan Nadir, M.', 'Steeds, Richard P.', 'Doshi, Sagar N.']",15,15,Health and Medical Sciences,Medical sciences,1,0,0,1
10.1016/j.dib.2020.106327,S0014483520303365,"['Hubens, W.H.G', 'Mohren, R.J.C', 'Liesenborghs, I', 'Eijssen, L.M.T', 'Ramdas, W.D', 'Webers, C.A.B', 'Gorgels, T.G.M.F']","['Hubens, W.H.G.', 'Mohren, R.J.C.', 'Liesenborghs, I.', 'Eijssen, L.M.T.', 'Ramdas, W.D.', 'Webers, C.A.B.', 'Gorgels, T.G.M.F.']",7,7,Medicine and Dentistry,Medical sciences,1,0,7,0
10.1016/j.dib.2018.09.026,S1046592818301621,"['Fernández, Ricardo D.', 'Lucas, Heather R.']","['Fernández, Ricardo D.', 'Lucas, Heather R.']",2,2,"Biochemistry, Genetics and Molecular Biology",Biological sciences,1,0,0,1
